text,label
하루종일 보람 있었다.,1
요즘 들어 혼돈스러웠다.,0
이번 달은 호감이 갔다.,1
하루종일 희망을 느꼈다.,1
지금 기분이 용감했다.,1
오늘은 정말 정성스러웠다.,1
내 마음이 소외되었다.,0
전체적으로 사려깊었다.,1
내 마음이 기대됐다.,1
나는 유쾌했다.,1
나는 화목했다.,1
지금 기분이 곤란했다.,0
오늘 하루는 실망했다.,0
오늘 하루는 난처했다.,0
오늘은 정말 비관적이었다.,0
오늘은 정말 실수했다.,0
지금 기분이 친근했다.,1
지금 기분이 효과적이었다.,1
나는 희망적이었다.,1
전체적으로 활기찼다.,1
내 마음이 순수했다.,1
이번 달은 우울했다.,0
이번 달은 따뜻했다.,1
오늘 하루는 쾌적했다.,1
내 마음이 질투심에 시달렸다.,0
나는 자랑스러웠다.,1
요즘 들어 용기가 났다.,1
오늘은 정말 명쾌했다.,1
이번 주는 맑고 깨끗했다.,1
이번 주는 상처받았다.,0
이번 달은 혼란스러웠다.,0
내 마음이 좌절했다.,0
요즘 들어 환하게 웃었다.,1
오늘은 정말 우려했다.,0
지금 기분이 억울했다.,0
오늘은 정말 온화했다.,1
이번 주는 감격스러웠다.,1
지금 기분이 당황스러웠다.,0
지금 기분이 활력 넘쳤다.,1
나는 겸손했다.,1
하루종일 활기차게 살았다.,1
요즘 들어 편안하게 느꼈다.,1
나는 무책임했다.,0
요즘 들어 초라했다.,0
이번 주는 희망이 가득했다.,1
하루종일 충족했다.,1
요즘 들어 낙심했다.,0
지금 기분이 애매했다.,0
지금 기분이 감사했다.,1
이번 주는 용기가 났다.,1
나는 즐거웠다.,1
나는 고통스러웠다.,0
나는 불편하게 느꼈다.,0
나는 모멸감을 느꼈다.,0
내 마음이 초조했다.,0
전체적으로 후회했다.,0
나는 실수했다.,0
하루종일 친근했다.,1
오늘 하루는 자부심이 들었다.,1
전체적으로 혐오스러웠다.,0
내 마음이 허무하게 느껴졌다.,0
이번 달은 다정했다.,1
내 마음이 쾌적했다.,1
이번 주는 용감했다.,1
이번 주는 폭력적이었다.,0
전체적으로 희생되었다.,0
이번 달은 불쾌했다.,0
요즘 들어 비관적이었다.,0
전체적으로 긍정적이었다.,1
요즘 들어 무관심했다.,0
내 마음이 대단했다.,1
이번 달은 배려했다.,1
요즘 들어 자랑스러웠다.,1
오늘은 정말 무리했다.,0
지금 기분이 초라했다.,0
나는 맑고 깨끗했다.,1
전체적으로 사랑스러웠다.,1
전체적으로 불만족스러웠다.,0
오늘은 정말 소중하게 느껴졌다.,1
전체적으로 성가셨다.,0
내 마음이 자신감 넘쳤다.,1
이번 주는 무섭다.,0
하루종일 성가셨다.,0
내 마음이 친근했다.,1
요즘 들어 초조했다.,0
이번 주는 화목했다.,1
요즘 들어 후회했다.,0
이번 주는 불확실했다.,0
전체적으로 호감이 갔다.,1
이번 달은 불쾌감을 느꼈다.,0
오늘 하루는 비참하게 느껴졌다.,0
오늘은 정말 후회했다.,0
지금 기분이 불편했다.,0
요즘 들어 고립된 느낌이었다.,0
요즘 들어 기운이 넘쳤다.,1
이번 주는 난처했다.,0
지금 기분이 용감했다.,1
내 마음이 절망했다.,0
오늘 하루는 맑았다.,1
하루종일 억울했다.,0
요즘 들어 혐오감이 들었다.,0
이번 주는 억울했다.,0
오늘은 정말 기대가 충만했다.,1
전체적으로 무기력감을 느꼈다.,0
오늘은 정말 미안했다.,0
하루종일 호감이 갔다.,1
이번 달은 성공했다.,1
이번 주는 친밀했다.,1
전체적으로 괴로웠다.,0
하루종일 따뜻하게 느껴졌다.,1
이번 주는 실망감이 들었다.,0
오늘은 정말 다정했다.,1
이번 달은 초조했다.,0
요즘 들어 배려했다.,1
이번 주는 무섭다.,0
오늘 하루는 상처받았다.,0
이번 주는 실망했다.,0
지금 기분이 무책임했다.,0
요즘 들어 성가셨다.,0
이번 달은 건강했다.,1
요즘 들어 선명했다.,1
내 마음이 맑고 깨끗했다.,1
이번 달은 성실했다.,1
나는 빛났다.,1
내 마음이 초라했다.,0
내 마음이 성공했다.,1
오늘은 정말 두려워졌다.,0
하루종일 감명받았다.,1
나는 모욕감을 느꼈다.,0
전체적으로 허무하게 느껴졌다.,0
오늘 하루는 불행감을 느꼈다.,0
오늘은 정말 심각했다.,0
나는 부끄러웠다.,0
하루종일 우울감을 느꼈다.,0
이번 주는 허전했다.,0
전체적으로 힘겨웠다.,0
이번 달은 무의미하게 느껴졌다.,0
이번 주는 실망감이 들었다.,0
이번 주는 호감이 갔다.,1
오늘은 정말 배려받았다.,1
